No.,Question,Answer
31,"Where would you find the code for the main Streamlit dashboard, and where would reusable UI components for a Next.js application be located?",The main Streamlit dashboard code is found in src/frontend/streamlitapp/dashboard.py. Reusable UI components for a Next.js application are located in src/frontend/nextjsapp/components/.
32,"How are Streamlit, Next.js, and React Native applications typically deployed and tested?",Deploy Streamlit on Heroku or AWS; Next.js on Vercel; React Native via Expo or direct builds. Testing involves Jest for unit tests and Cypress for E2E tests.
33,Analyze the provided Streamlit code snippet. What is its purpose?,To handle crop image uploads and display recommendations.
34,"What type of file is it designed to upload, and what is the expected response from the backend?",It is designed to upload jpg or png image files. The backend is expected to return a JSON object containing disease and confidence.
35,"What is the primary API framework used for the backend, and why is it chosen?","FastAPI is the asynchronous API framework used for the backend, chosen for high performance."
36,"What tool is used for asynchronous jobs, and what is the main database technology?","Celery is used for asynchronous jobs, and MongoDB Atlas is the primary database."
37,List at least five specific MongoDB Atlas collections mentioned in the backend architecture?,"Imagesmetadata, farmerfeedback, marketprices, loanrequests, notifications, yieldforecasts, systemlogs"
38,Describe the functionality of the /api/upload and /api/recommendations endpoints?,"The /api/upload endpoint handles image uploads, triggers inference, and stores metadata in MongoDB Atlas imagesmetadata. The /api/recommendations endpoint fetches personalized suggestions from MongoDB Atlas based on user ID."
39,"What are ""Background Services"" in the backend, and what are two examples of tasks they perform?",Background Services are dedicated scripts for compute-intensive tasks. Two examples of tasks they perform are scraping market data and running inference for models.
40,Analyze the provided FastAPI code snippet. What is its core function?,"The core function of the provided FastAPI code snippet is to handle image uploads, perform inference (prediction) on the uploaded image using a TensorFlow model, store the image metadata and prediction result in MongoDB Atlas, and return the prediction result."
41,How does it interact with MongoDB Atlas?,"The system interacts with MongoDB Atlas as a centralized cloud database for multi-user access, dashboards, analytics, and persistent storage. It stores various data including images metadata, farmer feedback, market prices, loan requests, yield forecasts, notifications, and system logs. Edge devices sync offline data from SQLite to MongoDB Atlas when online, and backend services and dashboards read from and write to MongoDB Atlas for operations, monitoring, and compliance."
42,"What machine learning operation is performed, and what is stored in the database after a successful operation?","AI Pest/Disease Forecasting using an LSTM model is performed, and time-series data is stored in the MongoDB Atlas yieldforecasts collection."
43,What is the purpose of UploadFile = File(...) and await file.read()?,UploadFile = File(...) is used to define a parameter for an uploaded file in the /api/inference endpoint. Await file.read() is used to read the content of the uploaded file.
44,How would you run the FastAPI backend locally?,Run locally with uvicorn backend.api.main:app –reload.
45,What tools are recommended for scaling the backend and for load testing?,"For scaling the backend, Gunicorn and Docker containers are recommended. For load testing, Locust is recommended."
46,"Explain the role of SQLite on edge devices. What kind of data is stored there, and why is it preferred over MongoDB Atlas for local storage?","SQLite serves as temporary, local storage on mobile and edge devices like smartphones, Raspberry Pi, or drones. It supports offline-first operations, preventing farm use from being blocked when there is no internet. Data stored includes uploaded images before syncing to MongoDB Atlas, local predictions and recommendations, and sensor readings or drone metadata."
47,"Describe the ""Combined Workflow"" for data synchronization between edge devices and MongoDB Atlas. What are the key benefits of this approach?","The Combined Workflow for data synchronization involves edge devices operating in offline mode by saving images, metadata, local TFLite/ONNX inference results, and recommendations/feedback to SQLite. When online, the sync process pushes these SQLite rows to MongoDB Atlas, confirms success, and then clears the synced SQLite rows. Dashboards and the backend then read from MongoDB Atlas. The key benefits of this approach are that it ensures offline-first usability for farmers, maintains centralized data in MongoDB Atlas for analytics, dashboards, and retraining, and is low-cost and free-tier compatible with MongoDB Atlas M0."
48,"What tools are used for monitoring API latency, model performance, and system health? Where are these metrics and alerts stored?","Prometheus and Grafana are used for monitoring API latency, model performance, and system health. These metrics are stored in the MongoDB Atlas systemlogs collection, and alerts are stored in the MongoDB Atlas notifications collection."
49,How is distributed tracing achieved across services?,OpenTelemetry is used for distributed tracing across services.
50,How are ML experiments and model metadata tracked?,MLflow is used to track experiments locally and sync metadata to MongoDB Atlas cropmonitoring for multi-user setups. Model Cards are stored in MongoDB Atlas with metrics and limitations.
51,"What is the role of GitHub Actions in the CI/CD pipeline, particularly regarding model accuracy?","GitHub Actions run tests, linting, and model accuracy checks before deployment. Deployment is blocked if model accuracy falls below a baseline."
52,What are the core features expected to be delivered in the MVP (0-3 months) phase?,"Dataset setup (PlantVillage), train CNN (ResNet50), build Streamlit app for farmers, and feedback collection in SQLite (offline) with sync to MongoDB Atlas farmerfeedback."
53,Which database technologies are central to the MVP's data strategy for both online and offline operations?,"MongoDB Atlas and SQLite are central to the MVP's data strategy for both online and offline operations. MongoDB Atlas serves as the centralized cloud database for multi-user access, dashboards, analytics, and persistent storage, while SQLite is used for temporary, local storage on mobile/edge devices to support offline-first operations."
54,"Explain how the platform is designed to be ""Free-Tier Friendly."" Name at least three specific free-tier services or strategies mentioned?","The platform is designed to be free-tier friendly by not requiring payment or ATM verification for the MVP, leveraging free tiers of services like MongoDB Atlas M0 for storage, Google Colab or Kaggle for free GPUs for model training, and using edge devices with SQLite for offline-first local storage that syncs to MongoDB Atlas when online. It also utilizes AWS Free Tier (EC2 t2.micro, S3) and open APIs."
55,"What are the limitations of the MongoDB Atlas Free-Tier (M0), and why is it considered sufficient for the MVP?","512MB storage, sufficient for MVP data and multi-farm prototype. Scales automatically for small datasets."
56,What formats do these sources typically provide?,These sources provide .SAFE or GeoTIFF formats.
57,"If live Sentinel-2 data is unavailable for the MVP, how can local simulation be performed for raster images and feature extraction?","If live Sentinel-2 access is unavailable for the MVP, local simulation can be performed for raster images by using sample .tif or .png bands from AWS/Copernicus datasets, storing them in data/satellite/ for local processing. For feature extraction, precompute indices like NDVI, EVI using rasterio or GDAL, and save them as satellitefeatures.csv for ML model input."
58,What is the recommended MVP strategy for satellite data?,Start offline-first using SQLite plus sample Sentinel-2 rasters or CSVs. Sync all offline outputs to MongoDB Atlas when network is available. Replace simulation with real satellite feeds when Google Earth Engine or other APIs become accessible.
59,List at least five external APIs or integration methods used by the platform?,"Open WeatherMap API, Twilio API, Gmail API, BeautifulSoup/Selenium, FAO APIs."
60,"What types of ""Edge Devices"" are targeted for on-farm inference?","Raspberry Pi 4, drones like DJI with cameras."
61,"Beyond unit and integration tests, what other types of testing are emphasized for Quality Assurance, and what specific security checks are mentioned?","Beyond unit and integration tests, performance testing to measure inference time and scalability is emphasized for Quality Assurance. Specific security checks mentioned include OWASP scans and dependency checks with pip-audit."
62,"What are two ""Additional Considerations"" highlighted for the project's long-term success or impact?","Cost Management: Use free tiers of MongoDB Atlas, AWS, and open APIs. Localization: Support Yoruba, Hausa, Igbo in UI (React Intl). Sustainability: Optimize models for low energy on edge devices."
