Question,Answer
How are API keys and secrets managed to enhance security?,"GCP Secret Manager, no committed secrets."
"What is the policy for audit logs, including retention?","Append-only store for API/model decisions, retain ≥ 12 months."
Describe the backup strategy for databases?,"Daily Postgres + Mongo snapshots, monthly restore tests."
List at least five key features that differentiate this platform from competitors?,"Edge AI for offline farm inference, multi-language support, market/supply data scraping, climate insights, community features, explainable AI, and gamification."
"Explain the concept of ""Edge AI"" in the context of this platform and its benefit?","Edge AI involves using frameworks such as TensorFlow Lite, ONNX, and PyTorch Mobile, and its benefit is to enable offline farm inference, which helps address connectivity gaps."
What are the three primary business models proposed for the platform's monetization?,"SaaS subscriptions, transaction fees, and enterprise/NGO contracts for analytics."
"For the risk of ""Data Drift/New Diseases,"" what mitigation strategies are proposed?","Scheduled evaluation, active learning, human-in-loop review."
"How does the platform address ""Connectivity Gaps"" in rural or remote areas?","Edge deployment (TFLite/ONNX), store-and-forward sync."
"What strategies are in place to build ""Trust/False Positives"" and ensure conservative alerts?","XAI overlays, confidence thresholds, conservative alerts."
"How is ""Vendor Lock-in"" mitigated in the deployment strategy?","Containerized workloads, IaC, multi-cloud-ready."
"Where would you find the main entry point for the FastAPI backend, and where are the Celery worker tasks defined?","The main entry point for the FastAPI backend is found in `main.py`, and the Celery worker tasks are defined in `tasks inference.py`."
"According to the `System Architecture` diagram, how do ""Farmers / Apps"" interact with the ""FastAPI Backend""?","Farmers / Apps upload images to the Frontend (UI) Streamlit / React, which then interacts with the FastAPI Backend (Main API Layer)."
"In the architecture, where are ML models deployed for cloud inference versus edge inference?","For cloud inference, ML models are deployed on GCP Cloud Run and GKE/K8s. For edge inference, ML models are deployed on Edge Devices (TFLite, ONNX, Pi) for offline farm inference."
*   What is the duration of this phase?,Not found in context.
"*   Which frontend technology is replaced, and with what?",Streamlit is replaced with React (Next.js + Tailwind CSS).
"*   What new functionalities are added related to payments, forecasting, and community?","Integrate payments with Stripe and Flutterwave, add yield forecasting (Prophet + LSTM), add market data scraping, and introduce community/forum module."
"*   What is the major deployment migration in this phase, and what new tools are introduced for infrastructure management?",Migrate deployment to GKE (Kubernetes) and use Terraform for Infrastructure as Code.
"*   What advanced AI feature is launched, and what new data sources are integrated?","Advanced AI feature launched is Edge AI models for offline farms. New data sources integrated include market data scraping, satellite data, and drone data."
"*   Which API keys are needed for OpenWeatherMap, Firebase, and Stripe?","OPENWEATHER_API_KEY, FIREBASE_PROJECT_ID, FIREBASE_WEB_API_KEY, STRIPE_SECRET_KEY."
*   How are Twilio and Gmail API credentials typically stored in this setup?,GCP Secret Manager.
*   How is Cross-Origin Resource Sharing (CORS) configured in the FastAPI application?,"The FastAPI application is configured with CORSMiddleware, allowing all origins (`allow_origins=[""*""]`), credentials (`allow_credentials=True`), all methods (`allow_methods=[""*""]`), and all headers (`allow_headers=[""*""]`)."
*   How is the FastAPI application run locally?,"uvicorn.run(app, host=""0.0.0.0"", port=8080)"
"*   How does the Celery worker connect to its message broker and backend, and what is the default fallback URL?","The Celery worker connects to its message broker and backend using the `REDIS_URL` environment variable, with a default fallback URL of `redis://localhost:6379/0`."
*   What are the expected steps within the `run_inference` task?,"load model, preprocess, predict, save result to DB"
*   How does the Streamlit application interact with the FastAPI backend for predictions and weather data?,"The Streamlit application interacts with the FastAPI backend by making HTTP requests. For predictions, it sends a POST request with the uploaded image file to the `/predict` endpoint of the FastAPI backend. For weather data, it sends a GET request with latitude and longitude parameters to the `/weather` endpoint of the FastAPI backend."
*   How are secrets like `API_BASE` accessed within the Streamlit application?,`API_BASE` is accessed using `st.secrets.get()`.
"*   What is the base image used, and what is the working directory inside the container?","FROM python:3.11-slim
WORKDIR /app"
*   What command is executed when the Docker container starts?,"CMD [""python"", ""src/backend/main.py""]"
*   What is the `kind` of resource being defined in this YAML file?,Service
"*   How is the Docker image specified for deployment, and what is the significance of `containerConcurrency`?",Not found in context.
*   When is this CI/CD workflow triggered?,"on push: branches: [ ""main"" ]"
"*   What are the main steps involved in the `build-deploy` job, from checkout to deployment?","The main steps involved in the `build-deploy` job are checking out the repository, setting up gcloud, submitting a gcloud build with a tag, and deploying the service to gcloud run."
*   How are Google Cloud credentials handled securely in this workflow?,"GCP Secret Manager is used for keys and secrets, and no secrets are committed."
"*   Which libraries are specifically for database interaction (PostgreSQL, MongoDB, Redis)?","psycopg2-binary, pymongo, redis"
*   Which library is used for the Streamlit frontend?,Streamlit
What types of testing are included in the QA process for this platform?,"Unit tests (models/utils), API contract tests, smoke tests post-deploy."
What functionalities are expected from the Model Registry?,"Version models, store metrics, roll back on degradation."
How are new model versions deployed safely to minimize risk?,Canary Releases: Route small % traffic to new model.
"How is model performance degradation detected, and what action does it trigger?","Model performance degradation is detected by monitoring feature distributions, which triggers retraining."
List at least five critical items from the MVP Go-Live Checklist that must be functional before launch?,"FastAPI /health, /predict, /weather endpoints working in Cloud Run; Model packaged, GPU-free inference <1s on CPU; Streamlit MVP online; image upload and weather view functional; Postgres with basic tables (farms, images, predictions, feedback); Redis running; cache hot endpoints."
What is the target inference time for the model on CPU for the MVP?,"Model packaged, GPU-free inference <1s on CPU."
