No.,Question,Answer
13,"How does the platform provide ""Market Insights"" and ""Digital Finance"" recommendations, including the data sources and storage mechanisms?","Market Insights are provided by collecting price data via scraping using BeautifulSoup/Selenium, then applying regression models like LinearRegression from scikit-learn. This data is stored in the MongoDB Atlas market_prices collection and scheduled with Celery. Digital Finance recommendations, specifically loan recommendations, are provided by training logistic regression or boosting models and deploying them via backend/api/recommendations.py. This data is stored in the MongoDB Atlas loan_requests collection."
14,How does the platform ensure timely actions for farmers? Name the communication channels and the backend technology used for asynchronous sending?,"The platform ensures timely actions for farmers through WhatsApp, Email, and SMS notifications. Celery is used for asynchronous sending of these notifications."
15,"What enables the platform's scalability for multi-farm dashboards, and what frontend and orchestration tools are mentioned?","The platform's scalability for multi-farm dashboards is enabled by fetching data from MongoDB Atlas for multi-farm views and using Kubernetes for scaling. Frontend tools mentioned are Streamlit, Next.js with React, React Native, Material-UI, Tailwind CSS, Chart.js, Leaflet.js, Mapbox, Redux, MobX, ARCore/ARKit, Web Speech API, and Vosk.js. Orchestration tools mentioned are Kubernetes and Helm."
16,"How is GDPR-style logging implemented to ensure trust and legal safety, particularly regarding farmer data?",Encrypt farmer logs in MongoDB Atlas crop_monitoring collection; allow farmers to request deletion. Use PyMongo for data access and implement audit logs.
17,"Describe how ""Edge AI & On-Farm Inference"" is achieved, including the model formats and runtime environments?","Deploy compressed models (ONNX, TFLite) on smartphones, Raspberry Pi, or drones. Use ONNX Runtime for cross-platform inference."
18,"Explain the ""AI Pest/Disease Forecasting"" capability, mentioning the data inputs and model type?",AI Pest/Disease Forecasting uses a weather API and an LSTM model to forecast outbreaks. It is implemented in ai/models/forecasting.py with time-series data stored in the MongoDB Atlas yield_forecasts collection.
19,"How does the platform implement ""Satellite + Drone Fusion,"" and what libraries are used for image processing and metadata storage?","The platform implements ""Satellite + Drone Fusion"" by processing Sentinel-2 data via Google Earth Engine or alternatives and fusing it with drone images in fusion_pipeline.py. Libraries like rasterio and GDAL are used for alignment and processing, and metadata is stored in the MongoDB Atlas images_metadata collection."
20,"What is a ""Farm Health Score,"" and how is it computed and displayed?","A Farm Health Score is a weighted index that includes disease percentage, soil, and rainfall. It is computed in backend/services/health_score.py and stored in MongoDB Atlas farms collection for dashboard display."
21,"How does the platform integrate ""AI Marketplace Integration"" into its recommendations?",Web scrape suppliers using Selenium and store in MongoDB Atlas market_prices collection for integration into recommendations.
22,"What methods are used for ""Gamification & Community"" engagement, and how is user activity tracked?","Farmers are rewarded for consistent use, and Streamlit/Gradio leaderboards are used for engagement. User activity is tracked by storing points in the MongoDB Atlas farmer_feedback collection and displaying top users."
23,"How does the platform address ""Climate Analytics,"" and where is this data stored?",The platform addresses Climate Analytics by showing sustainability metrics such as CO2 and fertilizer usage using open APIs like Carbon Interface API. The results are stored in MongoDB Atlas for analytics.
24,"Describe the ""Voice Interfaces"" and ""AR Overlays"" features, including the technologies used and how related data is managed?","Voice Interfaces use Whisper (offline STT) or Vosk for local languages (Yoruba, Hausa, Igbo), and voice command logs are stored in MongoDB Atlas for analysis. AR Overlays use AR.js/ARCore to guide farmers visually on infected leaf regions, and AR metadata is stored in MongoDB Atlas images_metadata collection."
25,"When adding or updating datasets, what steps and tools are required to maintain licensing, provenance, and versioning?","Maintain manifest.csv with source, license, date, sha256 checksum using pandas to generate and validate, storing metadata in MongoDB Atlas crop_monitoring collection. Use DVC for dataset versioning with commands like dvc add data/ and dvc push. Require farmer consent forms for uploads, storing them digitally in MongoDB Atlas users collection with timestamps."
26,"Before training a supervised model, what are the key steps for ""Annotation & Label QA,"" including quality metrics and tools?","Before training any supervised model, use CVAT or Roboflow for annotations, exporting in COCO or YOLO formats and storing in MongoDB Atlas images_metadata collection. Set clear guidelines for resolution (minimum 1024x1024) and label taxonomy (e.g., disease classes from PlantVillage). Ensure inter-annotator agreement is greater than or equal to 0.75 (Cohen’s Kappa), computed using scikit-learn’s cohen_kappa_score."
27,"How is ""Data Validation"" performed before training and deployment, and what specific tool is mentioned for schema checks?","Data validation is performed by adding Great Expectations tests for correct file counts and schema checks, defining expectations in great_expectations/expectations/, and validating MongoDB Atlas data. It also involves running pytest in CI/CD pipelines and integrating with GitHub Actions for automated validation. The specific tool mentioned for schema checks is Great Expectations."
28,"What is a ""Model Card,"" and when is it generated? How is it stored and tracked within the system?","A Model Card is a document (model-card.md) that contains the intended use, limitations, and metrics (accuracy, F1-score) of a model. It is generated at each model release. It is saved in MongoDB Atlas crop_monitoring collection and tracked in the MLflow registry, with metadata synced to MongoDB Atlas for multi-user access."
29,"Explain the process of ""Drift Detection & Retraining,"" including the tool used for detection and the trigger for retraining?",Use Evidently AI to detect distribution drifts. Retrain if macro-F1 drops below baseline.
30,How is model metadata tracked for multi-user access and CI/CD for models?,"Model metadata is stored in MongoDB Atlas for tracking. MLflow registry is used to sync metadata to MongoDB Atlas for multi-user access. For CI/CD, GitHub Actions checks accuracy before pushing models live and stores model metadata in MongoDB Atlas for tracking."
31,"Describe the security measures implemented for storing secrets, encrypting data (at rest and in transit), and managing data retention?","Secrets are stored in Vault/GCP Secret Manager and accessed via API in code. Data is encrypted using AES-256 at rest and TLS in transit, with MongoDB Atlas client-side field-level encryption. Data retention policies are implemented for a maximum of 2 years, using MongoDB Atlas queries to purge old data."
32,"What are the defined Service Level Objectives (SLOs) for latency and uptime, and what tools are used for monitoring these?","Set latency p95 <200ms, uptime >=99.5%. Monitor with Prometheus, Grafana, OpenTelemetry."
33,"How is reproducibility ensured for training runs and releases? What is the backup strategy for MongoDB Atlas, including RPO and RTO?","Reproducibility is ensured by pinning seeds and dependencies, and versioning datasets with hashes using DVC or Git LFS, storing metadata in MongoDB Atlas. The backup strategy for MongoDB Atlas is weekly, with a Recovery Point Objective (RPO) of 1 day and a Recovery Time Objective (RTO) of 4 hours, using mongodump for exports automated via cron."
34,"For a developer working on crop disease detection using images, what Deep Learning models and frameworks would be most relevant?","CNNs (ResNet, EfficientNet) and Transformers (ViT) models, using PyTorch, TensorFlow, or Hugging Face Transformers library."
35,"If you're tasked with building a credit scoring or yield model, which Machine Learning boosting algorithms would you consider?",Boosting algorithms to consider are XGBoost and LightGBM.
36,"What MLOps tools are crucial for experiment tracking, deployment, and monitoring in this project?","MLflow for experiment tracking, Docker/Kubernetes for deployment, and Prometheus/Grafana/OpenTelemetry for monitoring."
37,"To deploy compressed models on phones, what Edge AI techniques and formats are essential?","TFLite and ONNX formats are essential, along with techniques like pruning and quantization to reduce model size."
38,What visualization libraries are used for charts and maps?,"Chart.js for charts, Leaflet.js or Mapbox for maps displaying farm locations and satellite overlays."
39,"Describe the purpose of the ""Farmer Dashboard"" and ""Cooperative Management"" pages?","The Farmer Dashboard provides an image upload form, real-time recommendations, a notifications feed, and farm health score visualization. Cooperative Management offers multi-user views, aggregated analytics, and group leaderboards for gamification."
40,"What is the primary API framework used for the backend, and why was it chosen?",FastAPI: Asynchronous API framework for high performance.
41,How are asynchronous jobs like model training or scraping handled in the backend?,Celery is used as a task queue for asynchronous jobs like model training or scraping.
42,List at least five key MongoDB Atlas collections and describe the type of data each stores?,"images_metadata: Stores image paths, labels, GPS, drone info. farmer_feedback: User feedback for retraining and recommendation refinement. market_prices: Scraped or API-based market data. loan_requests: Microfinance and credit scoring data. yield_forecasts: Predicted crop yields."
43,Describe the functionality of the /api/upload and /api/recommendations endpoints?,"The /api/upload endpoint handles image uploads, triggers inference, and stores metadata in MongoDB Atlas images_metadata. The /api/recommendations endpoint fetches personalized suggestions from MongoDB Atlas based on user ID."
44,"Explain the rationale behind the ""Edge & Offline Devices"" strategy?",The Edge & Offline Devices strategy supports offline-first operations and avoids blocking farm use when there is no internet.
45,What specific technologies are used for deploying models and caching data on edge devices?,"TFLite/ONNX models are deployed using tflite_runtime or ONNX Runtime for inference, and SQLite or JSON are used for local data caching."
46,"Describe the complete workflow example for a farmer capturing an image offline, getting a local inference, and then syncing data when online?","Farmer captures image, saves to SQLite with metadata. Runs inference locally, stores result in SQLite. On network availability, syncs SQLite to MongoDB Atlas and clears synced rows."
47,What are the benefits of this combined workflow using MongoDB Atlas and SQLite?,"Ensures offline-first usability for farmers.
Maintains centralized data in MongoDB Atlas for analytics, dashboards, and retraining.
Low-cost, free-tier compatible with MongoDB Atlas M0."
48,"If live satellite data access is unavailable for the MVP, how can local simulation be performed for raster images and feature extraction?","If live Sentinel-2 access is unavailable for the MVP, local simulation for raster images can be performed by using sample .tif or .png bands from AWS/Copernicus datasets, storing them in data/satellite/ for local processing. For feature extraction, indices like NDVI and EVI can be precomputed using rasterio or GDAL and saved as satellite_features.csv for ML model input."
49,"What is the recommended MVP strategy for satellite data, combining offline-first, simulation, and future integration?",Start offline-first using SQLite and sample Sentinel-2 rasters or CSVs. Sync all offline outputs to MongoDB Atlas when network is available. Replace simulation with real satellite feeds when Google Earth Engine or other APIs become accessible.
50,How are the results from these APIs typically stored in the database?,"The results from APIs are typically stored in MongoDB Atlas. Specifically, Open WeatherMap API results are stored in yield_forecasts, Twilio API logs in notifications, Gmail API logs in MongoDB Atlas, BeautifulSoup/Selenium scraped market prices in market_prices, and FAO API soil data in MongoDB Atlas."
51,"What types of hardware are considered for edge devices, and what cloud platforms are leveraged?","Edge devices considered are Raspberry Pi 4 and drones like DJI with cameras. Cloud platforms leveraged include AWS Free Tier (EC2 t2.micro, S3), MongoDB Atlas M0, and alternatives like DigitalOcean."
52,"What tools are used for containerization, orchestration, and Infrastructure as Code (IaC)?","Docker for containerization, Kubernetes/Helm for orchestration, Terraform for IaC."
53,"What types of tests are performed for functions, APIs, and overall system performance?",Unit Tests are performed for functions and models using Pytest. Integration tests are performed for API chains with MongoDB Atlas. Performance tests measure inference time and scalability.
54,How is security addressed in the testing phase?,OWASP scans and dependency checks with pip-audit are used for security in the testing phase.
55,"Explain how the platform maintains ""Free-Tier Friendly"" compatibility, mentioning specific services and their benefits?","The platform maintains ""Free-Tier Friendly"" compatibility by utilizing MongoDB Atlas Free-Tier (M0) which offers 512MB storage, sufficient for MVP data and multi-farm prototypes, and scales automatically for small datasets. It also leverages Google Colab and Kaggle for free GPUs for model training. Edge devices with SQLite enable offline-first operations with local storage, syncing to MongoDB Atlas when online. This approach ensures cost efficiency, requiring no payment or ATM verification for the MVP, by leveraging free tiers of AWS, MongoDB Atlas, and open APIs."
56,What additional considerations are highlighted regarding localization and sustainability?,"Localization: Support Yoruba, Hausa, Igbo in UI (React Intl). Sustainability: Optimize models for low energy on edge devices."
