No.,Question,Answer
11,"Predictive Analytics: What models are recommended for yield forecasting and disease spread? How are these models deployed, and where are their predictions stored?","For yield forecasting and disease spread, Prophet or LSTM models are recommended. These models are deployed via FastAPI endpoints for API access, and their results are stored in MongoDB Atlas."
12,"Notifications: Which APIs are utilized for sending various types of notifications (SMS, WhatsApp, Email)? What tool is used for asynchronous sending, and where are the notification logs stored?","Twilio sandbox is used for SMS/WhatsApp, and Gmail API is used for email. Celery is used for asynchronous sending, and notification logs are stored in the MongoDB Atlas notifications collection."
13,"Compliance: How does the platform address GDPR-style logging, and what specific actions can farmers take regarding their data?",The platform addresses GDPR-style logging by encrypting farmer logs in the MongoDB Atlas cropmonitoring collection and implementing audit logs. Farmers can request deletion of their data.
14,"Explain the ""Adaptive Treatment Optimization"" differentiator. What data is used, and what advanced ML technique is mentioned for retraining the dosage optimization model?",Store historical actions in MongoDB Atlas. The dosage optimization model is retrained with new outcomes using reinforcement learning techniques.
15,"Describe the ""Satellite + Drone Fusion"" process. What libraries are used for image processing and alignment, and where is the metadata stored?",Process Sentinel-2 via Google Earth Engine or alternatives; fuse with drone images in fusionpipeline.py using libraries like rasterio for alignment. Metadata is stored in MongoDB Atlas imagesmetadata collection.
16,"How does the platform incorporate ""Gamification & Community"" features, and where is the relevant data tracked and displayed?",The platform incorporates Gamification & Community by rewarding farmers for consistent use with Streamlit/Gradio leaderboards. Points are tracked in the MongoDB Atlas farmerfeedback collection and top users are displayed.
17,"What technologies are suggested for implementing ""Voice Interfaces"" for local languages, and where are voice command logs stored for analysis?",Use Whisper (offline STT) or Vosk for local languages. Voice command logs are stored in MongoDB Atlas for analysis.
18,Licensing & Provenance: Detail the process for maintaining licensing and provenance for datasets. What specific tools and documentation are required? What consent is needed from farmers?,"To maintain licensing and provenance for datasets, a manifest.csv file must be maintained with source, license, date, and sha256 checksum, using pandas to generate and validate it. This metadata is stored in the MongoDB Atlas cropmonitoring collection. DVC is used for dataset versioning with commands like dvc add data/ and dvc push. Farmer consent forms are required for uploads and are stored digitally in the MongoDB Atlas users collection with timestamps."
19,"Data Validation: How is data validation performed before training and deployment? What tool is used, and how is it integrated into the CI/CD pipeline?","Data validation is performed by adding Great Expectations tests for correct file counts and schema checks, with expectations defined in greatexpectations/expectations/ to validate MongoDB Atlas data. Pytest is run in CI/CD pipelines and integrated with GitHub Actions for automated validation."
20,"Model Governance & Cards: What information should be included in a model card, and how is it stored and tracked across model releases?","A model card should include its intended use, limitations, and metrics such as accuracy and F1-score. It is saved in the MongoDB Atlas cropmonitoring collection and tracked in the MLflow registry, with metadata synced to MongoDB Atlas for multi-user access."
21,"CI/CD & Testing Gates: Outline the CI/CD workflow using GitHub Actions. What specific conditions block deployment, and how are canary rollouts implemented?","GitHub Actions run tests (pytest, lint with black/flake8). Deployment is blocked if model accuracy drops below baseline, using conditional steps in workflows. Canary rollouts are implemented using Kubernetes deployments with rollback triggers."
22,"For a developer focusing on market pricing and yield risk, which Machine Learning techniques are recommended?","Trees, Random Forests, and Boosting (XGBoost, LightGBM) are recommended."
23,What Deep Learning architectures are suggested for high-performance image classification and weather/yield forecasting?,"Transformers (ViT) are suggested for high-performance image classification, and LSTM/GRU are suggested for weather and yield forecasting."
24,What specific techniques are used in Edge AI to reduce model size for deployment on resource-constrained devices?,Pruning and Quantization are used to reduce model size.
25,What visualization libraries are suggested for displaying charts and maps on the frontend?,"Chart.js for charts, Leaflet.js or Mapbox for maps displaying farm locations and satellite overlays."
