No.,Question,Answer
19,"Which tools are used for performance monitoring, and what service is used for error logging? What security measure is mentioned for database storage?","Performance monitoring is done using Prometheus + Grafana, Sentry is used for error logging, and encrypted DB storage is a mentioned security measure for database storage."
20,List at least five key features that differentiate this platform from potential competitors?,"Edge AI for offline farm inference, multi-language support, market/supply data scraping, climate insights, community features, explainable AI, gamification, closed-loop learning for rapid accuracy gains, integrated finance and marketplace features, and data network effects enhancing model performance."
21,Which specific APIs/tools are mentioned for multi-language support and climate insights?,Google Translate API for multi-language support and Open-Meteo API for climate insights.
22,"What critical problem does the platform aim to solve for smallholder and mid-size farms, and what are the key functionalities and benefits it provides?","The platform addresses the critical issue of 20-40% yield losses in smallholder and mid-size farms due to diseases, pests, and timing errors. It provides an end-to-end solution for disease detection, decision explanation (XAI), yield/weather forecasting, actionable recommendations, alerts, and connections to payments/microfinance, all accessible via smartphone or low-cost cameras."
23,"Describe the proposed business model, including different revenue streams, and identify the main differentiators that contribute to its ""Billion-Dollar Potential.""?","The proposed business model includes SaaS subscriptions ($5-$15/month for farmers, $50-$200/month for cooperatives), transaction fees (1-3% on marketplace/financing flows), enterprise/NGO contracts for analytics, and data partnerships with anonymized insights.

The main differentiators contributing to its ""Billion-Dollar Potential"" are closed-loop learning for rapid accuracy gains, an Edge + Cloud architecture for offline and global scalability, Explainable AI (Grad-CAM/SHAP) for trust, integrated finance and marketplace features, and data network effects enhancing model performance."
24,"Describe the purpose of the `data/raw/`, `data/processed/`, and `data/external/` directories within the project structure?","raw/ # Raw datasets
processed/ # Cleaned/augmented datasets
external/ # External API pulls"
25,"Where would you find the core AI models (e.g., CNN for disease detection) and the FastAPI API routes defined within the project structure?","The core AI models, such as the CNN for disease detection, are found in `src/ai/models/cnn_disease_model.py`. The FastAPI API routes are defined in `src/backend/api/` which includes files like `routes_crop.py`, `routes_weather.py`, `routes_auth.py`, and `routes_payment.py`, with the main FastAPI entrypoint being `src/backend/main.py`."
26,"Based on the System Architecture diagram, how do farmers/apps interact with the system, and what are the main components involved in processing an image upload?","Farmers/Apps upload images to the Frontend (UI), which can be Streamlit or React. The Frontend then interacts with the FastAPI Backend (Main API Layer). The FastAPI Backend processes the image using ML Models (PyTorch CNN, XAI SHAP) and stores data in Databases (PostgreSQL, MongoDB, BigQuery)."
27,"Which specific ML models are mentioned in the ""ML Models"" component of the architecture diagram, and what are the deployment options shown?","PyTorch CNN, LSTM/Forecast, XAI (SHAP) are mentioned in the ""ML Models"" component. The deployment options shown are GCP CloudRun and GKE/K8s."
28,"*   What is the duration of Phase 1, and what resource constraint is imposed?","Phase 1 has a duration of 03 months, and it is constrained to use only free resources."
29,*   What are the key deliverables for the backend and frontend in this phase?,"Backend: Build FastAPI endpoints for image upload/prediction and weather data retrieval.
Frontend: Create Streamlit dashboard for image upload and weather forecast display."
30,"*   Which specific model is trained, and what explainability technique is added?","PyTorch for disease detection (CNN) is used, and Grad-CAM is added for explainability."
31,*   What is the deployment target for the MVP?,GCP Cloud Run.
32,*   What is the duration of Phase 2?,3-6 months
33,*   Which new databases and services are integrated during this phase?,"Add PostgreSQL for structured farmer data, MongoDB Atlas for logs/metadata, Redis for caching, Twilio + Gmail API for alerts, and Firebase Auth for secure login."
34,*   What CI/CD practice is implemented?,GitHub Actions (tests + deploy).
35,*   What is the duration of Phase 3?,6-12 months
36,"*   What significant change occurs in the frontend technology, and where is it deployed?",Replace Streamlit with React (Next.js + Tailwind CSS). Deploy frontend on Vercel.
37,"*   Which new predictive analytics feature is added, and what monetization features are integrated?","Yield forecasting (Prophet + LSTM) is added. Monetization features include SaaS subscriptions ($5-$15/month for farmers, $50-$200/month for cooperatives), transaction fees (1-3% on marketplace/financing flows), enterprise/NGO contracts for analytics, and data partnerships with anonymized insights."
38,*   What is the duration of Phase 4?,12+ months
39,"*   What is the major change in the deployment strategy, and what infrastructure management approach is introduced?",Migrate deployment to GKE (Kubernetes) and use Terraform for Infrastructure as Code.
40,*   Which new data sources are expanded upon in this phase?,Not found in context.
41,"*   Which environment variables are used to configure database connections for PostgreSQL, MongoDB, and Redis?","POSTGRES_URL, MONGODB_URI, and REDIS_URL."
42,*   What are the required environment variables for integrating with OpenWeatherMap and Firebase?,"OPENWEATHER_API_KEY, FIREBASE_PROJECT_ID, and FIREBASE_WEB_API_KEY."
43,"*   How are payment gateway secrets (Stripe, Flutterwave, Paystack) typically stored and accessed?","GCP Secret Manager, with no committed secrets."
44,*   What is the purpose of `CORSMiddleware` in the FastAPI application?,Not found in context.
45,"*   How does the `/weather` endpoint retrieve weather data, based on the `TODO` comment?",call OpenWeatherMap API using key from env
46,"*   What is the role of Celery in this blueprint, and how does the Celery worker connect to its broker and backend?","Celery is used for async/heavy jobs such as background inference and batch jobs. The Celery worker connects to its broker and backend using the `REDIS_URL` environment variable, defaulting to `redis://localhost:6379/0`."
47,"*   What are the responsibilities of the `run_inference` task, according to its `TODO` comment?","load model, preprocess, predict, save result to DB"
48,"*   How does the Streamlit app interact with the FastAPI backend, specifically for the `/predict` and `/weather` endpoints?","The Streamlit app interacts with the FastAPI backend by making HTTP requests. For the `/predict` endpoint, it sends a POST request with the uploaded image file. For the `/weather` endpoint, it sends a GET request with latitude and longitude parameters."
49,"*   What user inputs does the Streamlit app accept, and what information does it display?","The Streamlit app accepts plant images (jpg, png, jpeg), latitude, and longitude as user inputs. It displays the prediction results (label, confidence, treatment) and weather information (latitude, longitude, temperature, humidity)."
50,"*   What is the base image used for the Dockerfile, and what is the entry point command for running the application inside the Docker container?","The base image used for the Dockerfile is `python:3.11-slim`, and the entry point command for running the application inside the Docker container is `CMD [""python"", ""src/backend/main.py""]`."
51,*   What is the purpose of `containerConcurrency: 80` in the Cloud Run configuration?,Not found in context.
52,*   How is the `APP_ENV` environment variable set for the Cloud Run service?,"value: ""prod"""
53,*   What triggers the `build-deploy` job in this GitHub Actions workflow?,"The `build-deploy` job is triggered on pushes to the ""main"" branch."
54,"*   What are the two main `gcloud` commands executed in the deployment step, and how are sensitive credentials like `GCP_PROJECT_ID` and `GCP_SA_KEY` handled?","The two main `gcloud` commands executed in the deployment step are `gcloud builds submit` and `gcloud run deploy`. Sensitive credentials like `GCP_PROJECT_ID` and `GCP_SA_KEY` are handled using `secrets` in the GitHub Actions workflow and are managed via GCP Secret Manager, ensuring no committed secrets."
55,*   Which libraries are included for database connectivity and for the Streamlit frontend?,"For database connectivity, `pymongo`, `psycopg2-binary`, and `redis` are included. For the Streamlit frontend, `streamlit` is included."
56,"List at least three categories of Key Performance Indicators (KPIs) and North-Star Metrics mentioned for tracking the platform's success, providing specific examples for each?","Model Performance: Per-crop F1/recall, Grad-CAM quality.
Operational: Inference latency (p50/p95), uptime (≥ 99.5%), alert delivery (<60s).
Adoption: DAU/MAU, cohort retention, farms per cooperative.
Economics: ARPA, gross margin, LTV/CAC, churn <3%/month.
Impact: Yield uplift, loss reduction, net income change."
57,"How does the platform plan to address ""Connectivity Gaps"" and ""Trust/False Positives"" as risks?","Connectivity Gaps: Edge deployment (TFLite/ONNX), store-and-forward sync. Trust/False Positives: XAI overlays, confidence thresholds, conservative alerts."
58,"How is Personally Identifiable Information (PII) and farm data secured, and what measures are in place for managing API keys and secrets?","PII and farm data are encrypted at rest using Postgres TDE or KMS, and secured with field-level access controls. Keys and secrets are managed using GCP Secret Manager, with no committed secrets."
59,"What is the initial strategy for cost control during early development, and how does the platform plan to optimize costs as it scales?","The initial strategy for cost control is to use free tiers for services such as Neon/Supabase, MongoDB Atlas, Redis local, Cloud Run, Vercel, and GCS. As the platform scales, it plans to optimize costs by implementing batch inference via Celery, caching predictions in Redis, and compressing images. The platform will move to GKE only with sustained traffic."
60,"What types of testing are emphasized for the platform, and describe the MLOps practices mentioned, such as Model Registry and Drift Detection?","The platform emphasizes unit tests for models and utilities, API contract tests, and smoke tests post-deployment. MLOps practices include a Model Registry to version models, store metrics, and enable rollback on degradation, and Drift Detection to monitor feature distributions and trigger retraining."
61,"What is a ""Canary Release"" in the context of this platform, and why is it used?",Route small % traﬃc to new model.
62,"List at least five critical items from the MVP Go-Live Checklist that must be functional before launch, including expected model inference performance?","FastAPI /health, /predict, /weather endpoints working in Cloud Run; Model packaged, GPU-free inference <1s on CPU; Streamlit MVP online; image upload and weather view functional; Postgres with basic tables (farms, images, predictions, feedback); Redis running; cache hot endpoints; Twilio sandbox sends alerts on high-risk predictions."
